OBVR 1 - Query
OBSE version 22, Oblivion version 010201A0
OBVR 1 - Load
Config: D:\SteamLibrary\steamapps\common\Oblivion\Data\OBSE\Plugins\OBVR.ini
Config: HookEnabled=1 Source=openvr Fixed=(P 0.0, R 20.0, Y 0.0)
Config: Simulated=(Yaw 25.0, Pitch 12.0, Period 600) LogEveryFrames=120 ReloadEveryFrames=120
Config: RecenterKey=46 (0x2E)
OpenVR: connected through FnTable:IVRSystem_026
Camera: hook installed at 0066BE6E, trampoline at 03B60000 (37 bytes)
OBVR ready
Camera: first hook pass, CameraNode=187E43AC, third person
Camera: frame 5880, 1st, pos=(950.3, 1221.5, 289.5), head=(0.061, 0.996, -0.066, 0.024)
Camera: frame 6000, 1st, pos=(950.4, 1221.4, 289.5), head=(0.046, 0.994, -0.092, -0.045)
Camera: frame 6120, 1st, pos=(950.3, 1221.5, 289.6), head=(0.042, 0.976, -0.089, 0.196)
Camera: frame 6240, 1st, pos=(948.5, 1220.9, 289.8), head=(0.032, 0.992, -0.123, 0.017)
Camera: frame 6360, 1st, pos=(1037.5, 1192.8, 290.3), head=(0.040, 0.991, -0.129, -0.019)
Camera: frame 6480, 1st, pos=(1014.8, 1170.8, 289.9), head=(0.039, 0.990, -0.131, -0.021)
Camera: frame 6600, 1st, pos=(1038.8, 1340.8, 289.4), head=(0.066, 0.981, -0.087, 0.162)
Camera: frame 6720, 1st, pos=(1052.9, 1435.0, 289.4), head=(0.043, 0.992, -0.098, -0.061)
Camera: frame 6840, 1st, pos=(1056.4, 1569.6, 289.4), head=(0.045, 0.992, -0.104, -0.059)
Camera: frame 6960, 1st, pos=(962.0, 1756.5, 289.8), head=(0.042, 0.990, -0.130, -0.030)
Camera: frame 7080, 1st, pos=(990.3, 1860.8, 290.2), head=(0.047, 0.990, -0.125, -0.037)
Camera: frame 7200, 1st, pos=(787.2, 1972.1, 290.2), head=(0.041, 0.957, -0.287, -0.004)
Camera: frame 7320, 1st, pos=(836.5, 1927.9, 290.5), head=(0.048, 0.991, -0.119, -0.038)
Camera: frame 7440, 1st, pos=(845.5, 1891.1, 290.5), head=(0.045, 0.988, -0.141, -0.049)
Camera: frame 7560, 1st, pos=(845.5, 1891.2, 290.5), head=(0.040, 0.987, -0.145, -0.055)
Camera: switched to third person (frame 7638)
Camera: frame 7680, 3rd, pos=(836.6, 1927.3, 315.4), head=(0.044, 0.989, -0.131, -0.046)
Camera: frame 7800, 3rd, pos=(904.1, 1727.5, 318.0), head=(0.048, 0.992, -0.113, -0.041)
Camera: frame 7920, 3rd, pos=(929.3, 1701.6, 276.5), head=(0.046, 0.991, -0.121, -0.038)
Camera: frame 8040, 3rd, pos=(918.7, 1819.1, 302.4), head=(0.051, 0.991, -0.118, -0.033)
Camera: frame 8160, 3rd, pos=(918.0, 1836.7, 342.7), head=(0.028, 0.982, -0.096, -0.158)
Camera: frame 8280, 3rd, pos=(957.0, 1609.9, 343.7), head=(0.048, 0.997, -0.024, -0.049)
Camera: frame 8400, 3rd, pos=(1003.2, 1447.6, 313.8), head=(0.046, 0.992, -0.109, -0.051)
Camera: frame 8520, 3rd, pos=(1112.3, 1357.2, 381.5), head=(0.049, 0.990, -0.132, -0.029)
Camera: frame 8640, 3rd, pos=(986.2, 980.6, 318.1), head=(0.049, 0.991, -0.121, -0.038)
Camera: switched to first person (frame 8750)
Camera: frame 8760, 1st, pos=(1015.6, 1455.2, 289.3), head=(0.047, 0.990, -0.126, -0.033)
Camera: switched to third person (frame 8785)
Camera: frame 8880, 3rd, pos=(994.4, 1435.6, 366.1), head=(0.049, 0.990, -0.125, -0.036)
Camera: frame 9000, 3rd, pos=(862.1, 1648.7, 317.9), head=(0.047, 0.991, -0.124, -0.033)
Camera: frame 9120, 3rd, pos=(678.4, 1843.7, 213.2), head=(0.046, 0.990, -0.130, -0.033)
Camera: frame 9240, 3rd, pos=(1048.8, 1422.9, 346.2), head=(0.049, 0.991, -0.116, -0.033)
Camera: frame 9360, 3rd, pos=(960.0, 1313.6, 331.8), head=(0.049, 0.991, -0.122, -0.036)
Camera: frame 9480, 3rd, pos=(955.2, 1311.7, 329.6), head=(0.049, 0.991, -0.122, -0.036)
Camera: frame 9600, 3rd, pos=(957.3, 1315.0, 330.3), head=(0.051, 0.991, -0.119, -0.038)
Camera: frame 9720, 3rd, pos=(957.3, 1315.0, 330.3), head=(0.050, 0.991, -0.121, -0.037)
Camera: frame 9840, 3rd, pos=(894.4, 1151.8, 334.3), head=(0.051, 0.991, -0.120, -0.038)
Camera: frame 9960, 3rd, pos=(836.3, 668.7, 383.8), head=(0.051, 0.991, -0.120, -0.036)
Camera: frame 10080, 3rd, pos=(889.0, 1217.1, 403.3), head=(0.044, 0.954, -0.294, -0.043)
Camera: frame 10200, 3rd, pos=(1220.4, 1661.0, 265.9), head=(0.053, 0.990, -0.130, -0.029)
Camera: frame 10320, 3rd, pos=(995.1, 1715.8, 325.3), head=(0.047, 0.993, -0.098, -0.050)
Camera: frame 10440, 3rd, pos=(621.0, 1905.6, 332.5), head=(0.048, 0.993, -0.104, -0.040)
Camera: frame 10560, 3rd, pos=(630.9, 1902.3, 330.2), head=(0.049, 0.992, -0.110, -0.039)
Camera: frame 10680, 3rd, pos=(631.0, 1902.3, 330.2), head=(0.051, 0.992, -0.111, -0.040)
Camera: frame 10800, 3rd, pos=(631.0, 1902.3, 401.8), head=(0.052, 0.992, -0.110, -0.039)
Camera: frame 10920, 3rd, pos=(702.5, 2044.1, 318.2), head=(0.051, 0.991, -0.118, -0.034)
Camera: frame 11040, 3rd, pos=(657.1, 1961.8, 346.4), head=(0.046, 0.988, -0.110, -0.098)
Camera: frame 11160, 3rd, pos=(758.7, 2004.9, 334.6), head=(0.063, 0.989, -0.134, 0.018)
Camera: frame 11280, 3rd, pos=(1004.0, 1553.6, 389.8), head=(0.054, 0.971, -0.100, 0.211)
Camera: frame 11400, 3rd, pos=(998.1, 1527.5, 279.8), head=(0.045, 0.992, -0.117, -0.035)
Camera: frame 11520, 3rd, pos=(1038.2, 1769.3, 303.3), head=(0.045, 0.992, -0.114, -0.034)
Camera: frame 11640, 3rd, pos=(1034.5, 1627.0, 312.7), head=(-0.021, 0.920, -0.097, -0.380)
Camera: frame 11760, 3rd, pos=(1018.5, 2059.3, 325.0), head=(0.044, 0.990, -0.121, -0.057)
Camera: frame 11880, 3rd, pos=(940.1, 1867.6, 274.5), head=(0.046, 0.991, -0.116, -0.041)
Camera: frame 12000, 3rd, pos=(951.7, 1773.8, 288.8), head=(0.057, 0.991, -0.110, -0.040)
